model,brier,log_loss,accuracy
Logistic (features),0.23843150260789922,0.6694684385788808,0.5838414634146342
Ensemble (Poisson+Logistic),0.24069195094021428,0.6742922658518198,0.5701219512195121
Poisson (goals),0.24115318686698442,0.6753841959755936,0.5685975609756098
Dixon-Coles,0.24116626997580604,0.6754759269515156,0.569359756097561
Poisson (xG),0.2418323955189846,0.6765808228482626,0.573170731707317
Win-Rate,0.2457845339273425,0.6846692923474994,0.551829268292683
Baseline (home rate),0.2471202861496915,0.6874046344436623,0.5640243902439024
